출연배우번호,배역,배우번호,영화번호
1,안중근,1,1
2,우덕순,2,1
3,김상현,3,1
4,공부인,4,1
5,모리 다쓰오,5,1
6,최재형,6,1
7,이토 히로부미,7,1
8,이창섭,8,1
9,철웅,9,2
10,인기,6,2
11,서희,11,2
12,용태,12,2
13,효종,13,2
14,기철,14,2
15,도순,15,2
16,단비,16,3
17,정석,17,3
18,황대표,18,3
19,엘리자베스,19,4
20,수,20,4
21,하비,21,4
22,뽀로로,22,5
23,크롱,23,5
24,에디,24,5
25,루피,25,5
26,패티,26,5
27,해리/마린,27,5
28,포비,28,5
29,머록,29,5
30,불독,30,5
31,햄스터/시터스,31,5
32,로보트닉/제럴드,32,6
33,소닉,33,6
34,톰,34,6
35,매디,35,6
36,너클즈,36,6
37,섀도우,37,6
38,짱구,38,7
39,봉미선,39,7
40,신형만,40,7
41,엘파바,41,8
42,글린다,42,8
43,모리블 마담,43,8
44,위자드,44,8
45,피예로,45,8
46,보크,46,8
47,모아나 (목소리),48,9
48,마우이 (목소리) ,49,9
49,무파사,50,10
50,타카,51,10
51,라피키,52,10
52,품바,53,10
53,티몬,54,10
54,심바,55,10
55,키로스 ,56,10
56,에샤,57,10
57,키아라,58,10
58,나라,59,10
59,국희,60,11
60,수영,61,11
61,박병장,62,11
62,박사장,63,11
63,재웅,64,11
64,근태,65,11
65,도현,66,12
66,지우,67,12
67,캐빈,68,12
68,옥자,69,12
69,후지이 이츠키/와타나베 히로코,71,13
70,후지이 이츠키(소녀),72,13
71,후지이 이츠키(소년),73,13
72,시게루 아키바,74,13
73,카지오야지,75,13
74,아베카스,78,13
75,하마구치 선생 ,79,13
76,오이카와 사나에,80,13
77,엘렌,81,14
78,토마스,82,14
79,해리 포터,87,15
80,헤르미온느 그레인저,88,15
81,론 위즐리,89,15
82,볼드모트,90,15
83,덤블도어 교장,91,15
84,스네이프 교수,92,15
85,루나 러브굿,93,15
86,빌 위즐리,94,15
87,플레르 델라쿠르,95,15
88,그립 후크 / 플리트윅 교수,96,15
89,로이 ,97,17
90,알렉산드리아,98,17
91,프로도,109,19
92,아라곤,110,19
93,샘,111,19
94,레골라스,112,19
95,간달프,113,19
96,골룸,114,19
97,아르웬,115,19
98,김리,116,19
99,메리,117,19
100,사루만,118,19
101,데이비드,119,20
102,벤지,120,20
103,제임스,121,20
104,마샤,122,20
105,리,233,22
106,제시,234,22
107,조엘,235,22
108,새미,236,22
109,엔초 페라리,241,23
110,로라 페라리,242,23
111,리나 라르디,243,23
112,쿠퍼,244,24
113,머피 ,245,24
114,아멜리아,246,24
115,브랜드,247,24
116,어린 머피,248,24
117,톰,249,24
118,Dr. 만,251,24
119,게티,252,24
120,로밀리,253,24
121,오스칼,123,25
122,이엘리,124,25
123,이본느,125,25
124,버지니아,126,25
125,태이,129,26
126,유림,130,26
127,빌,131,27
128,아일린,132,27
129,준,137,28
130,덕규,138,28
131,철,139,28
132,미나,140,28
133,피에르 쟝 ,141,28
134,가영,142,28
135,규만,143,28
136,요리코,144,29
137,오사무,145,29
138,타쿠야,146,29
139,미즈키,147,29
140,안소니,148,30
141,조,149,30
142,블레이크,150,30
143,리,151,30
144,유준,152,31
145,정아,153,31
146,인희,154,31
147,리지,157,32
148,빌,158,32
149,조,159,32
150,진,160,32
151,션,161,32
152,에릭,162,32
153,이라,163,32
154,옷코츠 유타 (목소리),164,33
155,오리모토 리카 (목소리),165,33
156,젠인 마키 (목소리),166,33
157,이누마키 토게 (목소리),167,33
158,판다 (목소리),168,33
159,고죠 사토루 (목소리) ,169,33
160,게토 스구루 (목소리),170,33
161,엘로이즈,171,34
162,마리안느,172,34
163,백작 부인,173,34
164,무옥,174,35
165,문석,175,35
166,방여사,176,35
167,가연,177,35
168,인행,178,35
169,강상수,181,35
170,원장수녀,182,35
171,혜원,192,38
172,재하,193,38
173,혜원 엄마,194,38
174,은숙,195,38
175,앙주,196,39
176,카린,197,39
177,테츠야,198,39
178,신사: 악귀의 속삭임,199,41
179,이,200,42
180,왕치아즈/막 부인,201,42
181,이 부인,202,42
182,광위민,203,42
183,이와토 스즈메,205,43
184,무나카타 소타 ,206,43
185,이와토 타마키,207,43
186,무나카타 히츠지로,208,43
187,오카베 미노루,209,43
188,니노미야 루미,210,43
189,아마베 치카,211,43
190,이와토 츠바메,212,43
191,세리자와 토모야,213,43
192,미카,214,44
193,아오이,215,44
194,정서,216,45
195,영주,217,45
196,경현,218,45
197,정해,219,45
198,주희,220,45
199,미영,221,45
200,니코 (한국어 목소리),222,46
201,스텔라 (한국어 목소리),223,46
202,릴리 (한국어 목소리),224,46
203,줄리어스 (한국어 목소리),225,46
204,프랜서 (한국어 목소리),226,46
205,윌마 (한국어 목소리),227,46
206,비키,228,48
207,잭,229,48
208,하오하오,230,48
209,하오하오,231,48
210,준,232,48
